dimension_key,dimension_name,default_score,description
base_strength,赛前基础层,3,排名/Elo/阵容深度/大赛经验/教练稳定性
player_status,球员个体状态与实力层,3,关键球员状态/是否首发/预计时间/伤停
player_type_structure,球员类型结构层,3,速度型/支点型/压迫型/组织型等类型结构
key_matchups,关键对位层,3,边锋对边卫/中锋对中卫/高压对出球等
historical_style,历史球队风格层,3,长期风格和惯性打法
style_counter,风格克制矩阵,3,A队弱点是否正好被B队强项击中
recent_form,近期状态层,3,近5-10场进失球/强弱队表现/下半场表现
goal_distribution,进球分布层,3,xG/射门/射正/重大机会/非常规进球
strong_second_goal,强队第二球能力,3,强队能否把优势转化为第二球
strong_third_goal,强队第三球与大胜能力,3,巨星/替补/下半场调整/对手崩盘
weak_first_goal,弱队第一球能力,3,弱队是否有明确一球路径
weak_second_goal,弱队第二球能力,3,弱队是否有多点进攻或第二进球路径
favorite_defense,热门球队防守脆弱度,3,热门球队是否容易被反击/定位球惩罚
clean_sheet,零封能力,3,强队控场/反抢/门将/弱队核心状态
tactical_matchup,战术匹配层,3,控球反击/高压出球/防线高度/定位球对位
stage_psychology,比赛阶段与心理层,3,小组首轮谨慎/混乱/净胜球需求
draw_risk,平局风险指数,3,0-0/1-1/2-2不同平局类型
lineup_injuries,阵容与伤停层,3,中锋/中卫/后腰/门将/核心替补
team_harmony_social,队内关系与社媒层,3,更衣室/采访/社媒/场上配合信号
environment_schedule,环境与赛程层,3,天气/开球时间/旅行/休息/补水暂停
referee_events,裁判与事件触发层,3,点球/红牌/补时/早球/门将失误
market_odds,赔率与市场层,3,胜平负/让球/大小球/双方进球赔率
dynamic_triggers,动态比分触发器,3,弱队先进球/强队早球/连续定位球等
star_overperformance,巨星超额进球能力,3,姆巴佩/梅西/哈兰德式突破均值能力
set_piece_aerial,高空/定位球错位,3,身高/角球/头球/二点球优势
pressing_error_path,前锋压迫与门将后场失误,3,逼抢门将中卫/脱手/乌龙/补射
